r,t,y,DiscountedSalvageValue
REGION1,LNDCP04HRIND,2026,77.1555
REGION1,LNDCP04HRIND,2027,84.064
REGION1,LNDCP04HRIND,2028,90.9412
REGION1,LNDCP04HRIND,2029,97.8121
REGION1,LNDCP04HRIND,2030,104.701
REGION1,LNDCP04IRIND,2017,9.5081
REGION1,LNDCP04IRIND,2018,18.6327
REGION1,LNDCP04IRIND,2019,27.4185
REGION1,LNDCP04IRIND,2020,35.9075
REGION1,LNDCP04IRIND,2021,44.139
REGION1,LNDCP04IRIND,2022,52.1501
REGION1,LNDCP04IRIND,2023,59.976
REGION1,LNDCP04IRIND,2024,67.6498
REGION1,LNDCP04IRIND,2025,75.2033
REGION1,LNDCP04IRIND,2026,57.6105
REGION1,LNDCP04IRIND,2027,50.9354
REGION1,LNDCP04IRIND,2028,50.6765
REGION1,LNDCP04IRIND,2029,50.0028
REGION1,LNDCP04IRIND,2030,48.7861
REGION1,LNDCP04LRIND,2025,0.2469
REGION1,LNDCP04LRIND,2026,0.8071
REGION1,LNDCP04LRIND,2027,0.9775
REGION1,LNDCP04LRIND,2028,1.1501
REGION1,LNDCP04LRIND,2029,1.3232
REGION1,LNDCP04LRIND,2030,38.02
REGION1,LNDCP05IRIND,2017,1.125
REGION1,LNDCP05IRIND,2018,2.2046
REGION1,LNDCP05IRIND,2019,3.2442
REGION1,LNDCP05IRIND,2020,4.2486
REGION1,LNDCP05IRIND,2021,5.2225
REGION1,LNDCP05IRIND,2022,6.1704
REGION1,LNDCP05IRIND,2023,7.0964
REGION1,LNDCP05IRIND,2024,8.0043
REGION1,LNDCP05IRIND,2025,8.8981
REGION1,LNDCP05IRIND,2026,9.7811
REGION1,LNDCP05IRIND,2027,10.6569
REGION1,LNDCP05IRIND,2028,11.5288
REGION1,LNDCP05IRIND,2029,12.3998
REGION1,LNDCP05IRIND,2030,13.2731
REGION1,LNDCP05LRIND,2017,1.4562
REGION1,LNDCP05LRIND,2018,2.4744
REGION1,LNDCP05LRIND,2019,3.4665
REGION1,LNDCP05LRIND,2020,4.1455
REGION1,LNDCP05LRIND,2021,6.8825
REGION1,LNDCP05LRIND,2022,7.7091
REGION1,LNDCP05LRIND,2023,7.6845
